Year,Age,Domicile,Gender,Level of study,Applicants
2016,All,All,All,All,3150
2017,All,All,All,All,2010
2018,All,All,All,All,2420
2019,All,All,All,All,3540
2020,All,All,All,All,3760
2021,All,All,All,All,3680
2022,All,All,All,All,3440
2023,All,All,All,All,3650
2016,All,All,All,Combination,20
2016,All,All,All,Postgraduate only,1420
2016,All,All,All,Undergraduate only,1710
2017,All,All,All,Combination,20
2017,All,All,All,Postgraduate only,810
2017,All,All,All,Undergraduate only,1180
2018,All,All,All,Combination,20
2018,All,All,All,Postgraduate only,1060
2018,All,All,All,Undergraduate only,1330
2019,All,All,All,Combination,30
2019,All,All,All,Postgraduate only,1750
2019,All,All,All,Undergraduate only,1760
2020,All,All,All,Combination,30
2020,All,All,All,Postgraduate only,1950
2020,All,All,All,Undergraduate only,1790
2021,All,All,All,Combination,30
2021,All,All,All,Postgraduate only,1970
2021,All,All,All,Undergraduate only,1680
2022,All,All,All,Combination,30
2022,All,All,All,Postgraduate only,1910
2022,All,All,All,Undergraduate only,1500
2023,All,All,All,Combination,40
2023,All,All,All,Postgraduate only,1970
2023,All,All,All,Undergraduate only,1640
2016,All,All,Men,All,1400
2016,All,All,Women,All,1740
2017,All,All,Men,All,900
2017,All,All,Women,All,1100
2018,All,All,Men,All,1030
2018,All,All,Women,All,1380
2019,All,All,Men,All,1510
2019,All,All,Women,All,2030
2020,All,All,Men,All,1650
2020,All,All,Women,All,2110
2021,All,All,Men,All,1700
2021,All,All,Women,All,1980
2022,All,All,Men,All,1540
2022,All,All,Women,All,1900
2023,All,All,Men,All,1660
2023,All,All,Women,All,2000
2016,All,All,Men,Combination,10
2016,All,All,Men,Postgraduate only,580
2016,All,All,Men,Undergraduate only,810
2016,All,All,Women,Combination,10
2016,All,All,Women,Postgraduate only,840
2016,All,All,Women,Undergraduate only,890
2017,All,All,Men,Combination,10
2017,All,All,Men,Postgraduate only,320
2017,All,All,Men,Undergraduate only,580
2017,All,All,Women,Combination,10
2017,All,All,Women,Postgraduate only,490
2017,All,All,Women,Undergraduate only,610
2018,All,All,Men,Combination,10
2018,All,All,Men,Postgraduate only,390
2018,All,All,Men,Undergraduate only,630
2018,All,All,Women,Combination,10
2018,All,All,Women,Postgraduate only,670
2018,All,All,Women,Undergraduate only,700
2019,All,All,Men,Combination,10
2019,All,All,Men,Postgraduate only,690
2019,All,All,Men,Undergraduate only,800
2019,All,All,Women,Combination,20
2019,All,All,Women,Postgraduate only,1060
2019,All,All,Women,Undergraduate only,960
2020,All,All,Men,Combination,20
2020,All,All,Men,Postgraduate only,770
2020,All,All,Men,Undergraduate only,860
2020,All,All,Women,Combination,10
2020,All,All,Women,Postgraduate only,1170
2020,All,All,Women,Undergraduate only,930
2021,All,All,Men,Combination,10
2021,All,All,Men,Postgraduate only,850
2021,All,All,Men,Undergraduate only,840
2021,All,All,Women,Combination,20
2021,All,All,Women,Postgraduate only,1130
2021,All,All,Women,Undergraduate only,840
2022,All,All,Men,Combination,20
2022,All,All,Men,Postgraduate only,790
2022,All,All,Men,Undergraduate only,740
2022,All,All,Women,Combination,10
2022,All,All,Women,Postgraduate only,1120
2022,All,All,Women,Undergraduate only,770
2023,All,All,Men,Combination,20
2023,All,All,Men,Postgraduate only,840
2023,All,All,Men,Undergraduate only,800
2023,All,All,Women,Combination,30
2023,All,All,Women,Postgraduate only,1130
2023,All,All,Women,Undergraduate only,840
2016,All,EU (excluding UK),All,All,450
2016,All,England,All,All,1550
2016,All,Northern Ireland,All,All,40
2016,All,Not EU,All,All,650
2016,All,Scotland,All,All,330
2016,All,Wales,All,All,130
2017,All,EU (excluding UK),All,All,280
2017,All,England,All,All,940
2017,All,Northern Ireland,All,All,20
2017,All,Not EU,All,All,470
2017,All,Scotland,All,All,190
2017,All,Wales,All,All,90
2018,All,EU (excluding UK),All,All,310
2018,All,England,All,All,1150
2018,All,Northern Ireland,All,All,20
2018,All,Not EU,All,All,640
2018,All,Scotland,All,All,210
2018,All,Wales,All,All,100
2019,All,EU (excluding UK),All,All,540
2019,All,England,All,All,1590
2019,All,Northern Ireland,All,All,30
2019,All,Not EU,All,All,1000
2019,All,Scotland,All,All,270
2019,All,Wales,All,All,130
2020,All,EU (excluding UK),All,All,500
2020,All,England,All,All,1560
2020,All,Northern Ireland,All,All,30
2020,All,Not EU,All,All,1250
2020,All,Scotland,All,All,290
2020,All,Wales,All,All,140
2021,All,EU (excluding UK),All,All,420
2021,All,England,All,All,1500
2021,All,Northern Ireland,All,All,30
2021,All,Not EU,All,All,1350
2021,All,Scotland,All,All,270
2021,All,Wales,All,All,110
2022,All,EU (excluding UK),All,All,250
2022,All,England,All,All,1460
2022,All,Northern Ireland,All,All,20
2022,All,Not EU,All,All,1410
2022,All,Scotland,All,All,210
2022,All,Wales,All,All,90
2023,All,EU (excluding UK),All,All,290
2023,All,England,All,All,1450
2023,All,Northern Ireland,All,All,30
2023,All,Not EU,All,All,1580
2023,All,Scotland,All,All,210
2023,All,Wales,All,All,110
2016,All,EU (excluding UK),All,Postgraduate only,240
2016,All,EU (excluding UK),All,Undergraduate only,220
2016,All,England,All,Combination,20
2016,All,England,All,Postgraduate only,600
2016,All,England,All,Undergraduate only,940
2016,All,Northern Ireland,All,Postgraduate only,20
2016,All,Northern Ireland,All,Undergraduate only,20
2016,All,Not EU,All,Postgraduate only,440
2016,All,Not EU,All,Undergraduate only,200
2016,All,Scotland,All,Postgraduate only,80
2016,All,Scotland,All,Undergraduate only,250
2016,All,Wales,All,Postgraduate only,40
2016,All,Wales,All,Undergraduate only,90
2017,All,EU (excluding UK),All,Postgraduate only,110
2017,All,EU (excluding UK),All,Undergraduate only,160
2017,All,England,All,Combination,10
2017,All,England,All,Postgraduate only,300
2017,All,England,All,Undergraduate only,640
2017,All,Northern Ireland,All,Postgraduate only,10
2017,All,Northern Ireland,All,Undergraduate only,20
2017,All,Not EU,All,Combination,10
2017,All,Not EU,All,Postgraduate only,320
2017,All,Not EU,All,Undergraduate only,140
2017,All,Scotland,All,Postgraduate only,30
2017,All,Scotland,All,Undergraduate only,160
2017,All,Wales,All,Postgraduate only,30
2017,All,Wales,All,Undergraduate only,70
2018,All,EU (excluding UK),All,Postgraduate only,140
2018,All,EU (excluding UK),All,Undergraduate only,160
2018,All,England,All,Combination,10
2018,All,England,All,Postgraduate only,400
2018,All,England,All,Undergraduate only,740
2018,All,Northern Ireland,All,Postgraduate only,10
2018,All,Northern Ireland,All,Undergraduate only,20
2018,All,Not EU,All,Combination,10
2018,All,Not EU,All,Postgraduate only,430
2018,All,Not EU,All,Undergraduate only,200
2018,All,Scotland,All,Postgraduate only,50
2018,All,Scotland,All,Undergraduate only,160
2018,All,Wales,All,Postgraduate only,40
2018,All,Wales,All,Undergraduate only,60
2019,All,EU (excluding UK),All,Postgraduate only,270
2019,All,EU (excluding UK),All,Undergraduate only,260
2019,All,England,All,Combination,20
2019,All,England,All,Postgraduate only,660
2019,All,England,All,Undergraduate only,920
2019,All,Northern Ireland,All,Postgraduate only,10
2019,All,Northern Ireland,All,Undergraduate only,20
2019,All,Not EU,All,Combination,10
2019,All,Not EU,All,Postgraduate only,680
2019,All,Not EU,All,Undergraduate only,300
2019,All,Scotland,All,Postgraduate only,70
2019,All,Scotland,All,Undergraduate only,200
2019,All,Wales,All,Postgraduate only,60
2019,All,Wales,All,Undergraduate only,70
2020,All,EU (excluding UK),All,Postgraduate only,270
2020,All,EU (excluding UK),All,Undergraduate only,230
2020,All,England,All,Combination,20
2020,All,England,All,Postgraduate only,660
2020,All,England,All,Undergraduate only,890
2020,All,Northern Ireland,All,Postgraduate only,10
2020,All,Northern Ireland,All,Undergraduate only,10
2020,All,Not EU,All,Combination,10
2020,All,Not EU,All,Postgraduate only,880
2020,All,Not EU,All,Undergraduate only,360
2020,All,Scotland,All,Postgraduate only,80
2020,All,Scotland,All,Undergraduate only,210
2020,All,Wales,All,Postgraduate only,50
2020,All,Wales,All,Undergraduate only,90
2021,All,EU (excluding UK),All,Postgraduate only,230
2021,All,EU (excluding UK),All,Undergraduate only,190
2021,All,England,All,Combination,10
2021,All,England,All,Postgraduate only,660
2021,All,England,All,Undergraduate only,830
2021,All,Northern Ireland,All,Postgraduate only,10
2021,All,Northern Ireland,All,Undergraduate only,10
2021,All,Not EU,All,Combination,10
2021,All,Not EU,All,Postgraduate only,920
2021,All,Not EU,All,Undergraduate only,420
2021,All,Scotland,All,Postgraduate only,100
2021,All,Scotland,All,Undergraduate only,170
2021,All,Wales,All,Postgraduate only,60
2021,All,Wales,All,Undergraduate only,50
2022,All,EU (excluding UK),All,Postgraduate only,150
2022,All,EU (excluding UK),All,Undergraduate only,100
2022,All,England,All,Combination,20
2022,All,England,All,Postgraduate only,640
2022,All,England,All,Undergraduate only,800
